name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
"3,5-dimethyl-3-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127720.0,-451919.99999999994,237.2438718765734,789.4552044133155,149.46,124.7176801704,91.25701777200001,161.75662434921122,-61.68155525791201,753.0857849100489,14.79478,-0.684368774141086,0
"4,4-dimethyl-3-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127440.0,-446150.0,255.65742210296958,771.4552044133155,149.33,124.53151355000001,91.37876025000001,161.896789254339,-61.71105514650001,734.516087322128,15.032499999999999,-0.6937716615698273,0
"5,5-dimethyl-3-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127440.0,-446150.0,255.65742210296958,771.4552044133155,149.33,124.53151355000001,91.37876025000001,161.896789254339,-61.71105514650001,734.516087322128,15.032499999999999,-0.6937716615698273,0
2-nonanol,C9H20O,C9H20O,aq,test,test,test,J,-121990.00000000001,-466609.99999999994,305.17485628039685,875.6701317797131,164.73,137.4139014342,100.699399581,181.28004235450894,-68.69272208742599,838.9955785568293,14.92213,-0.6893993688282607,0
3-nonanol,C9H20O,C9H20O,aq,test,test,test,J,-121990.00000000001,-466609.99999999994,305.17485628039685,875.6701317797131,164.73,137.4139014342,100.699399581,181.28004235450894,-68.69272208742599,838.9955785568293,14.92213,-0.6893993688282607,0
4-nonanol,C9H20O,C9H20O,aq,test,test,test,J,-121990.00000000001,-466609.99999999994,305.17485628039685,875.6701317797131,164.73,137.4139014342,100.699399581,181.28004235450894,-68.69272208742599,838.9955785568293,14.92213,-0.6893993688282607,0
5-nonanol,C9H20O,C9H20O,aq,test,test,test,J,-121990.00000000001,-466609.99999999994,305.17485628039685,875.6701317797131,164.73,137.4139014342,100.699399581,181.28004235450894,-68.69272208742599,838.9955785568293,14.92213,-0.6893993688282607,0
2-methyl-1-octanol,C9H20O,C9H20O,aq,test,test,test,J,-122190.00000000001,-464039.99999999994,314.4654818044619,858.6701317797131,164.85,137.57526087899998,100.61416984499999,181.17146789807623,-68.67294070437,822.4023921261337,14.752329999999999,-0.682695316468557,0
2-methyl-2-octanol,C9H20O,C9H20O,aq,test,test,test,J,-116609.99999999999,-471990.0,269.0856394432344,883.5647074979033,164.77,137.4166542298,100.80310593900002,181.46096007868965,-68.74818703049401,846.6866530798993,15.007029999999999,-0.692761642718843,0
2-methyl-3-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
3-methyl-3-octanol,C9H20O,C9H20O,aq,test,test,test,J,-116609.99999999999,-471990.0,269.0856394432344,883.5647074979033,164.77,137.4166542298,100.80310593900002,181.46096007868965,-68.74818703049401,846.6866530798993,15.007029999999999,-0.692761642718843,0
4-methyl-1-octanol,C9H20O,C9H20O,aq,test,test,test,J,-122190.00000000001,-464039.99999999994,314.4654818044619,858.6701317797131,164.85,137.57526087899998,100.61416984499999,181.17146789807623,-68.67294070437,822.4023921261337,14.752329999999999,-0.682695316468557,0
3-methyl-2-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
5-methyl-1-octanol,C9H20O,C9H20O,aq,test,test,test,J,-122190.00000000001,-464039.99999999994,314.4654818044619,858.6701317797131,164.85,137.57526087899998,100.61416984499999,181.17146789807623,-68.67294070437,822.4023921261337,14.752329999999999,-0.682695316468557,0
